episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height
467,0.738,79,0,100,21,10.0,7.38
468,0.793,79,0,100,21,10.0,7.93
469,0.86,73,0,100,27,10.0,8.6
470,0.672,79,0,100,21,10.0,6.72
471,0.849,80,0,100,20,10.0,8.49
472,0.855,71,0,100,29,10.0,8.55
473,0.82,77,0,100,23,10.0,8.2
474,0.829,79,0,100,21,10.0,8.29
475,0.798,76,0,100,24,10.0,7.98
476,0.822,78,0,100,22,10.0,8.22
477,0.926,72,0,100,28,10.0,9.26
478,0.781,81,0,100,19,10.0,7.81
479,0.803,78,0,100,22,10.0,8.03
480,0.798,78,0,100,22,10.0,7.98
481,0.736,77,0,100,23,10.0,7.36
482,0.897,71,0,100,29,10.0,8.97
483,0.816,76,0,100,24,10.0,8.16
484,0.871,76,0,100,24,10.0,8.71
485,0.776,73,0,100,27,10.0,7.76
486,0.778,75,0,100,25,10.0,7.78
487,0.873,81,0,100,19,10.0,8.73
488,0.813,78,0,100,22,10.0,8.13
489,0.88,77,0,100,23,10.0,8.8
490,0.753,76,0,100,24,10.0,7.53
491,0.784,77,0,100,23,10.0,7.84
492,0.89,79,0,100,21,10.0,8.9
493,0.75,79,0,100,21,10.0,7.5
494,0.812,74,0,100,26,10.0,8.12
495,0.718,79,0,100,21,10.0,7.18
496,0.776,80,0,100,20,10.0,7.76
497,0.869,77,0,100,23,10.0,8.69
498,0.905,75,0,100,25,10.0,9.05
499,0.777,78,0,100,22,10.0,7.77
500,0.771,73,0,100,27,10.0,7.71
501,0.824,78,0,100,22,10.0,8.24
502,0.832,84,0,100,16,10.0,8.32
503,0.739,76,0,100,24,10.0,7.39
504,0.813,82,0,100,18,10.0,8.13
505,0.794,77,0,100,23,10.0,7.94
506,0.742,76,0,100,24,10.0,7.42
507,0.831,78,0,100,22,10.0,8.31
508,0.887,74,0,100,26,10.0,8.87
509,0.801,72,0,100,28,10.0,8.01
510,0.829,70,0,100,30,10.0,8.29
511,0.789,73,0,100,27,10.0,7.89
512,0.824,76,0,100,24,10.0,8.24
513,0.95,74,0,100,26,10.0,9.5
514,0.786,78,0,100,22,10.0,7.86
515,0.816,78,0,100,22,10.0,8.16
516,0.842,75,0,100,25,10.0,8.42
517,0.871,81,0,100,19,10.0,8.71
518,0.763,77,0,100,23,10.0,7.63
519,0.765,74,0,100,26,10.0,7.65
520,0.759,77,0,100,23,10.0,7.59
521,0.892,74,0,100,26,10.0,8.92
522,0.858,74,0,100,26,10.0,8.58
523,0.745,79,0,100,21,10.0,7.45
524,0.816,77,0,100,23,10.0,8.16
525,0.813,72,0,100,28,10.0,8.13
526,0.882,75,0,100,25,10.0,8.82
527,0.749,80,0,100,20,10.0,7.49
528,0.808,76,0,100,24,10.0,8.08
529,0.71,82,0,100,18,10.0,7.1
530,0.773,80,0,100,20,10.0,7.73
531,0.918,75,0,100,25,10.0,9.18
532,0.773,79,0,100,21,10.0,7.73
533,0.849,73,0,100,27,10.0,8.49
534,0.802,78,0,100,22,10.0,8.02
535,0.712,75,0,100,25,10.0,7.12
536,0.869,79,0,100,21,10.0,8.69
537,0.829,77,0,100,23,10.0,8.29
538,0.697,74,0,100,26,10.0,6.97
539,0.872,75,0,100,25,10.0,8.72
540,0.816,76,0,100,24,10.0,8.16
541,0.794,79,0,100,21,10.0,7.94
542,0.815,74,0,100,26,10.0,8.15
543,0.814,79,0,100,21,10.0,8.14
544,0.837,76,0,100,24,10.0,8.37
545,0.901,76,0,100,24,10.0,9.01
546,0.814,76,0,100,24,10.0,8.14
547,0.717,79,0,100,21,10.0,7.17
548,0.855,75,0,100,25,10.0,8.55
549,0.797,76,0,100,24,10.0,7.97
550,0.787,71,0,100,29,10.0,7.87
551,0.778,77,0,100,23,10.0,7.78
552,0.863,72,0,100,28,10.0,8.63
553,0.777,72,0,100,28,10.0,7.77
554,0.868,76,0,100,24,10.0,8.68
555,0.851,72,0,100,28,10.0,8.51
556,0.737,79,0,100,21,10.0,7.37
557,0.78,74,0,100,26,10.0,7.8
558,0.825,73,0,100,27,10.0,8.25
559,0.835,78,0,100,22,10.0,8.35
560,0.86,78,0,100,22,10.0,8.6
561,0.687,78,0,100,22,10.0,6.87
562,0.856,75,0,100,25,10.0,8.56
563,0.777,77,0,100,23,10.0,7.77
564,0.786,77,0,100,23,10.0,7.86
565,0.807,78,0,100,22,10.0,8.07
566,0.798,80,0,100,20,10.0,7.98
567,0.756,77,0,100,23,10.0,7.56
568,0.672,78,0,100,22,10.0,6.72
569,0.833,77,0,100,23,10.0,8.33
570,0.833,73,0,100,27,10.0,8.33
571,0.857,77,0,100,23,10.0,8.57
572,0.821,83,0,100,17,10.0,8.21
573,0.768,78,0,100,22,10.0,7.68
574,0.822,80,0,100,20,10.0,8.22
575,0.689,83,0,100,17,10.0,6.89
576,0.766,75,0,100,25,10.0,7.66
577,0.847,78,0,100,22,10.0,8.47
578,0.76,77,0,100,23,10.0,7.6
579,0.796,74,0,100,26,10.0,7.96
580,0.812,75,0,100,25,10.0,8.12
581,0.843,70,0,100,30,10.0,8.43
582,0.845,72,0,100,28,10.0,8.45
583,0.732,80,0,100,20,10.0,7.32
584,0.806,79,0,100,21,10.0,8.06
585,0.866,73,0,100,27,10.0,8.66
586,0.671,74,0,100,26,10.0,6.71
587,0.813,70,0,100,30,10.0,8.13
588,0.864,77,0,100,23,10.0,8.64
589,0.886,75,0,100,25,10.0,8.86
590,0.667,79,0,100,21,10.0,6.67
591,0.801,75,0,100,25,10.0,8.01
592,0.826,74,0,100,26,10.0,8.26
593,0.791,75,0,100,25,10.0,7.91
594,0.785,76,0,100,24,10.0,7.85
595,0.781,77,0,100,23,10.0,7.81
596,0.823,77,0,100,23,10.0,8.23
597,0.694,79,0,100,21,10.0,6.94
598,0.722,77,0,100,23,10.0,7.22
599,0.706,77,0,100,23,10.0,7.06
600,0.778,74,0,100,26,10.0,7.78
601,0.706,82,0,100,18,10.0,7.06
602,0.801,74,0,100,26,10.0,8.01
603,0.794,76,0,100,24,10.0,7.94
604,0.84,76,0,100,24,10.0,8.4
605,0.754,80,0,100,20,10.0,7.54
606,0.821,75,0,100,25,10.0,8.21
607,0.837,75,0,100,25,10.0,8.37
608,0.837,74,0,100,26,10.0,8.37
609,0.74,83,0,100,17,10.0,7.4
610,0.807,72,0,100,28,10.0,8.07
611,0.8,75,0,100,25,10.0,8.0
612,0.767,75,0,100,25,10.0,7.67
613,0.812,74,0,100,26,10.0,8.12
614,0.764,78,0,100,22,10.0,7.64
615,0.839,78,0,100,22,10.0,8.39
616,0.798,75,0,100,25,10.0,7.98
617,0.843,71,0,100,29,10.0,8.43
618,0.821,74,0,100,26,10.0,8.21
619,0.87,73,0,100,27,10.0,8.7
620,0.826,80,0,100,20,10.0,8.26
621,0.849,73,0,100,27,10.0,8.49
622,0.779,78,0,100,22,10.0,7.79
623,0.835,75,0,100,25,10.0,8.35
624,0.754,75,0,100,25,10.0,7.54
625,0.842,77,0,100,23,10.0,8.42
